Log Name,Source,Date,Event ID,Task,Level,Opcode,Keyword,User,User Name,Computer,Description
83,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:55.923,20001,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management concluded the process to install driver netr28x.inf_amd64_72ff1ba7dcda290d\netr28x.inf for Device Instance ID PCI\VEN_1814&DEV_0701&SUBSYS_27601814&REV_00\4&1AF465A6&0&30A4 with the following status: 0x0.
84,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:56.105,20001,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management concluded the process to install driver e177fp.inf_amd64_2c11e4c4470f3ea2\e177fp.inf for Device Instance ID DISPLAY\DELA023\5&B50B343&0&UID4356 with the following status: 0x0.
85,System,Microsoft-Windows-Kernel-General,2017-06-22T09:39:57.666,15,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Hive \??\C:\WINDOWS\System32\config\COMPONENTS was reorganized with a starting size of 33288192 bytes and an ending size of 33267712 bytes.
86,System,Microsoft-Windows-Setup,2017-06-22T09:39:57.950,2004,OS,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Successfully logged OS information
87,System,Microsoft-Windows-Kernel-General,2017-06-22T09:39:58.369,15,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Hive \??\C:\WINDOWS\System32\SMI\Store\Machine\SCHEMA.DAT was reorganized with a starting size of 12640256 bytes and an ending size of 11776000 bytes.
88,System,Microsoft-Windows-Kernel-General,2017-06-22T09:39:58.437,16,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,The access history in hive \??\C:\WINDOWS\system32\config\elam was cleared updating 1 keys and creating 1 modified pages.
89,System,Tcpip,2017-06-22T09:39:58.531,4291,N/A,Warning,N/A,Classic,N/A,N/A,DESKTOP-OGCJR0S,The network adapter with hardware address 00-21-2F-36-D8-2D has indicated packet coalescing capability without indicating support for one or more prerequisite receive filter capabilities (IPv6 0x00000000).
90,System,Tcpip,2017-06-22T09:39:58.531,4291,N/A,Warning,N/A,Classic,N/A,N/A,DESKTOP-OGCJR0S,The network adapter with hardware address 00-21-2F-36-D8-2D has indicated packet coalescing capability without indicating support for one or more prerequisite receive filter capabilities (IPv4 0x00000000).
91,System,Service,2017-06-22T09:39:58.562,7045,N/A,Information,N/A,Classic,S-1-5-18,NT,DESKTOP-OGCJR0S,A service was installed in the system.
92,System,Microsoft-Windows-UserPnp,2017-06-22T09:39:58.590,20001,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,Driver Management concluded the process to install driver netvwifimp.inf_amd64_356b66ad47b23393\netvwifimp.inf for Device Instance ID {5D624F94-8850-40C3-A3FA-A4FD2080BAF3}\VWIFIMP_WFD\5&11480D99&0&11 with the following status: 0x0.
